matchup,iterations,agent,moves,avg_estimated_value,avg_ms_per_iteration
baseline_vs_llm,10,baseline-mcts-10,258,0.6905,0.015944
baseline_vs_llm,10,llm-mcts-10,273,0.7734,0.007794
baseline_vs_minimax,10,baseline-mcts-10,103,0.7039,0.016056
baseline_vs_minimax,10,minimax,113,0.6991,0.0
llm_vs_minimax,10,llm-mcts-10,113,0.6663,0.007147
llm_vs_minimax,10,minimax,119,0.5966,0.0
baseline_vs_llm,50,baseline-mcts-50,314,0.5802,0.014541
baseline_vs_llm,50,llm-mcts-50,317,0.6539,0.00926
baseline_vs_minimax,50,baseline-mcts-50,125,0.622,0.013419
baseline_vs_minimax,50,minimax,126,0.5913,0.0
llm_vs_minimax,50,llm-mcts-50,135,0.6713,0.008229
llm_vs_minimax,50,minimax,135,0.5,0.0
baseline_vs_llm,100,baseline-mcts-100,347,0.5542,0.01503
baseline_vs_llm,100,llm-mcts-100,347,0.6364,0.010862
baseline_vs_minimax,100,baseline-mcts-100,123,0.5892,0.014009
baseline_vs_minimax,100,minimax,123,0.5732,0.0
llm_vs_minimax,100,llm-mcts-100,132,0.6432,0.010637
llm_vs_minimax,100,minimax,132,0.5114,0.0
baseline_vs_llm,500,baseline-mcts-500,359,0.5442,0.014897
baseline_vs_llm,500,llm-mcts-500,359,0.553,0.011844
baseline_vs_minimax,500,baseline-mcts-500,132,0.5765,0.016403
baseline_vs_minimax,500,minimax,132,0.5341,0.0
llm_vs_minimax,500,llm-mcts-500,135,0.614,0.01199
llm_vs_minimax,500,minimax,135,0.5,0.0
